od_id,run_id,origin_point_id,origin_dataset_source,origin_lat,origin_lon,dest_point_id,dest_dataset_source,dest_lat,dest_lon,distance_km,distance_bucket,actual_duration_s,route_distance_m,timestamp_iso,label_source,dataset_attribution
run20260221000458_001990,run20260221000458,pt_27bef2a7510ac249,Community Club / PAssion WaVe Outlet,1.373600,103.873891,pt_ff1258c497da0e7a,Community Club / PAssion WaVe Outlet,1.317846,103.900750,6.881085,3_8km,1048.000,8577.000,2026-02-21T00:23:22.799859+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_001991,run20260221000458,pt_2135dd32622d9e20,Hawker Centres,1.338475,103.849513,pt_71990dac0e7ab761,Child Care Services,1.319318,103.832059,2.881363,1_3km,630.000,5583.000,2026-02-21T00:23:23.123618+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_001992,run20260221000458,pt_4ce5861664368dc5,Child Care Services,1.338995,103.793134,pt_a803678b832e7afa,Child Care Services,1.354971,103.750400,5.071779,3_8km,1116.000,8322.000,2026-02-21T00:23:23.415199+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_001993,run20260221000458,pt_d71aa0f570e91fb0,Child Care Services,1.355067,103.846946,pt_99620627a4d4c113,Community Club / PAssion WaVe Outlet,1.373007,103.837612,2.248552,1_3km,454.000,3162.000,2026-02-21T00:23:23.738884+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_001994,run20260221000458,pt_9f20214edde34a14,Child Care Services,1.385856,103.761737,pt_caa9724e758e13a9,Child Care Services,1.388526,103.770353,1.002734,1_3km,250.000,1439.000,2026-02-21T00:23:24.021396+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_001995,run20260221000458,pt_f2de9d39c64455a8,Child Care Services,1.401352,103.910104,pt_08b6ed2dd06290d3,Child Care Services,1.388344,103.901265,1.748590,1_3km,458.000,3510.000,2026-02-21T00:23:24.398386+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_001996,run20260221000458,pt_f5f66d4c3ce29535,Child Care Services,1.336550,103.935822,pt_885901979e7a54c6,Child Care Services,1.319731,103.952087,2.601312,1_3km,594.000,4678.000,2026-02-21T00:23:24.678523+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_001997,run20260221000458,pt_8f7bcad6267fdf69,Community Club / PAssion WaVe Outlet,1.348323,103.711380,pt_76632716296bf94a,Child Care Services,1.363266,103.746557,4.248784,3_8km,781.000,5304.000,2026-02-21T00:23:25.020221+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_001998,run20260221000458,pt_dbdb53b4ee8b58dd,Community Club / PAssion WaVe Outlet,1.316528,103.896555,pt_2e70dc7ec209a646,Child Care Services,1.285672,103.826784,8.481174,8_20km,1219.000,13583.000,2026-02-21T00:23:25.314381+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_001999,run20260221000458,pt_6ee96a851c5b1f07,Community Club / PAssion WaVe Outlet,1.381517,103.841428,pt_2a9d93075ec4adb4,Child Care Services,1.403778,103.905762,7.567769,3_8km,1207.000,9820.000,2026-02-21T00:23:25.632319+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
