point_id,lat,lon,dataset_source
pt_0db0d1f320ec52b4,1.393458,103.900515,Child Care Services
pt_0dd110049e91c73a,1.336074,103.879854,Child Care Services
pt_0dfde577fd177480,1.366507,103.746847,Child Care Services
pt_0e28666879188630,1.394471,103.744054,Child Care Services
pt_0e341b3be6a9a4fd,1.410036,103.896380,Child Care Services
pt_0e3778bf0765e868,1.343330,103.691679,Child Care Services
pt_0e4c6d7d3de2c10e,1.325922,103.925810,Child Care Services
pt_0e4f633280ed8bf2,1.374169,103.853002,Child Care Services
pt_0e84d7bb364b8956,1.312861,103.796123,Child Care Services
pt_0e94ecfd95f5506b,1.387567,103.771212,Child Care Services
pt_0eab10a1bff029a1,1.390234,103.860062,Child Care Services
pt_0f2c76d2359cffe1,1.315656,103.919246,Child Care Services
pt_0f9d99835b8dceb5,1.345607,103.882695,Child Care Services
pt_103d8539f00ca011,1.365471,103.936250,Child Care Services
pt_104b38d432064ec2,1.312984,103.870430,Child Care Services
pt_108f9842e2174863,1.441682,103.785985,Child Care Services
pt_1097d734713a0050,1.445031,103.777377,Child Care Services
pt_10b51e6a427d73e3,1.320669,103.944690,Child Care Services
pt_10dbc0f0857e21dc,1.356142,103.737292,Child Care Services
pt_10eb12d5c11a9373,1.416983,103.835218,Child Care Services
pt_110c45543126320b,1.320371,103.884029,Child Care Services
pt_113cbd8e073d7239,1.359499,103.953127,Child Care Services
pt_113d51696d296486,1.308945,103.851699,Child Care Services
pt_116d4d43d1624f91,1.445751,103.798120,Child Care Services
pt_117db65927ab74d3,1.380708,103.846500,Child Care Services
pt_1185946cd1ae0b00,1.278129,103.796754,Child Care Services
pt_11cb5395995edcfa,1.400573,103.919657,Child Care Services
pt_122dbf5008856969,1.347753,103.697969,Child Care Services
pt_1238d111d7912807,1.394976,103.915467,Child Care Services
pt_1325618faf913bca,1.323250,103.767260,Child Care Services
pt_1368cdafd796d666,1.305323,103.915837,Child Care Services
pt_137832a6b885caac,1.414950,103.898821,Child Care Services
pt_13990acb7c812040,1.386762,103.772523,Child Care Services
pt_13a5b4c6e2475ba7,1.312550,103.847421,Child Care Services
pt_13b23c29a351326b,1.294570,103.842050,Child Care Services
pt_13c71d30e6a820a2,1.382569,103.880453,Child Care Services
pt_13daad91cf563c94,1.315162,103.767488,Child Care Services
pt_13dc0fcd0c889166,1.394101,103.911356,Child Care Services
pt_1407251604229e3e,1.343462,103.770315,Child Care Services
pt_141e45a4846725fa,1.337572,103.858844,Child Care Services
pt_142b16b105cdea0a,1.321007,103.859824,Child Care Services
pt_142fb0ecd68845aa,1.347635,103.936696,Child Care Services
pt_144540b290e998aa,1.395647,103.888633,Child Care Services
pt_144778441186d27b,1.391181,103.874322,Child Care Services
pt_1449d35b422e03cd,1.349099,103.850674,Child Care Services
pt_147021e33c5eea97,1.314842,103.879123,Child Care Services
pt_14d86e11ee3474a8,1.402181,103.891041,Child Care Services
pt_14f194d39711e632,1.353121,103.718930,Child Care Services
pt_151c004152d55a7f,1.326095,103.941386,Child Care Services
pt_1525d927dd40f8dc,1.331434,103.936865,Child Care Services
pt_156137bd746d233b,1.434229,103.838544,Child Care Services
pt_15bd080c9dc76b24,1.318199,103.778898,Child Care Services
pt_15c202205634994d,1.352774,103.942492,Child Care Services
pt_15db38a6131cd549,1.339527,103.723287,Child Care Services
pt_15e0fd352cfade3a,1.368864,103.833954,Child Care Services
pt_162711829a99d855,1.396240,103.908007,Child Care Services
pt_1642434750fad266,1.281821,103.847398,Child Care Services
pt_1689d102f145b676,1.323025,103.849662,Child Care Services
pt_16a159fbbf46eb7f,1.320106,103.765573,Child Care Services
pt_16adf3fba742256e,1.294545,103.808751,Child Care Services
pt_16b6a6502b8c2f02,1.397494,103.909987,Child Care Services
pt_16b8f599daae0e70,1.319755,103.953845,Child Care Services
pt_16cce7b2e9165b36,1.374941,103.960590,Child Care Services
pt_174aff11e2e18a20,1.335574,103.738119,Child Care Services
